,tags
1697,"{'name:en': 'Metropolis Eyecare Centre', 'level': '0', 'healthcare': 'clinic'}"
1699,"{'addr:housenumber': '6339', 'level': '0', 'addr:street': '200 Street', 'atm': 'yes', 'brand': 'Prospera', 'addr:unit': '500'}"
1700,"{'wheelchair': 'yes', 'level': '0'}"
1701,"{'wheelchair': 'yes', 'cuisine': 'international', 'level': '0'}"
1702,"{'brand:wikidata': 'Q8000869', 'cuisine': 'chicken', 'level': '0', 'brand': 'Wild Wing', 'brand:wikipedia': 'en:Wild Wing Restaurants'}"
1703,"{'addr:housenumber': '6339', 'level': '0', 'addr:street': '200 Street', 'atm': 'no', 'addr:postcode': 'V2Y 1A2', 'brand': 'Citi', 'addr:unit': '306', 'addr:city': 'Langley'}"
1704,{'name:en': 'Keb Hana'}
1705,{'name:en': 'Mr. Renta a Car'}
1706,{'name:en': 'Quick Bite'}
1707,"{'brand:wikidata': 'Q5138088', 'official_name': 'Coast Capital Savings Federal Credit Union', 'brand': 'Coast Capital Savings', 'brand:wikipedia': 'en:Coast Capital Savings'}"
1708,"{'contact:facebook': 'https://www.facebook.com/pottersgardenburnaby', 'website': 'https://www.pottersgardenburnaby.com/', 'cuisine': 'korean;bbq', 'addr:postcode': 'V5H 2G3', 'addr:city': 'Burnaby', 'source:name:url': 'http://www.openstreetmap.org/note/968501', 'addr:housenumber': '5599', 'contact:instagram': 'https://www.instagram.com/pottersgarden/', 'phone': '+1-604-431-0208', 'opening_hours': 'Mo-Th,Su 11:00-00:00; Fr,Sa 11:00-02:00', 'name:en': ""Potter's Garden"", 'addr:street': 'Kingsway', 'email': 'pgburnaby@gmail.com'}"
1709,"{'name:en': 'Dental Medical Center', 'healthcare': 'dentist'}"
1710,"{'addr:housenumber': '1001', 'addr:street': 'Kingsway', 'addr:city': 'Vancouver'}"
1711,{'name:en': 'Waves'}
1712,{'name:en': 'Moneymart'}
1714,{'name:en': 'Chef Pin'}
1715,{}
1716,"{'brand:wikidata': 'Q177054', 'brand:wikipedia': 'en:Burger King', 'cuisine': 'burger', 'name:en': 'Burger King', 'takeaway': 'yes', 'brand': 'Burger King'}"
1718,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1719,"{'level': '1', 'name:en': 'Chop n Toss'}"
1721,"{'brand:wikidata': 'Q177054', 'level': '1', 'brand:wikipedia': 'en:Burger King', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'Burger King'}"
1722,"{'cuisine': 'dim sum', 'name:en': 'Chef Tony Dim Sum', 'level': '1'}"
1723,"{'level': '1', 'cuisine': 'mexican'}"
1724,"{'brand:wikidata': 'Q7711610', 'level': '1', 'brand:wikipedia': 'en:Thaï Express', 'cuisine': 'thai', 'takeaway': 'yes', 'brand': 'Thaï Express'}"
1726,"{'level': '1', 'fixme': ""This is a commercial child care while the parents are shopping in the mall. I don't think of it as a community centre.""}"
1728,{'name:en': 'Sulmida'}
1732,"{'level': '1', 'cuisine': 'japanese'}"
1733,"{'brand:wikidata': 'Q244457', 'level': '1', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'name:en': 'Subway', 'takeaway': 'yes', 'brand': 'Subway'}"
1734,"{'brand:wikidata': 'Q3472954', 'level': '1', 'brand:wikipedia': ""en:Nando's"", 'description': 'They specialize in flame-grilled chicken.', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's""}"
1735,"{'level': '1', 'healthcare': 'clinic'}"
1736,{'level': '1'}
1737,"{'brand:wikidata': 'Q6747622', 'level': '1', 'brand:wikipedia': 'en:Manchu Wok', 'cuisine': 'chinese', 'name:en': 'Manchu Wok', 'takeaway': 'yes', 'brand': 'Manchu Wok'}"
1738,"{'level': '1', 'cuisine': 'vietnamese'}"
1739,{'level': '1'}
1740,"{'level': '1', 'name:en': 'U-Grill'}"
1742,"{'level': '1', 'name:en': ""Menchie's""}"
1743,"{'cuisine': 'japanese', 'name:en': 'Kawawa', 'level': '1'}"
1744,"{'level': '1', 'name:en': 'Kawawa Ramen'}"
1746,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'level': '1', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1747,{'level': '1'}
1748,"{'cuisine': 'indian', 'name:en': 'Curry Express', 'level': '1'}"
1749,"{'brand:wikidata': 'Q3355059', 'level': '1', 'brand:wikipedia': 'en:Orange Julius', 'cuisine': 'juice', 'name:en': 'Orange Julius', 'takeaway': 'yes', 'brand': 'Orange Julius'}"
1751,"{'level': '1', 'name:en': 'Kernels'}"
1752,"{'brand:wikidata': 'Q1820137', 'level': '1', 'brand:wikipedia': 'en:Shoppers Drug Mart', 'dispensing': 'yes', 'name:en': 'Shoppers Drug Mart', 'brand': 'Shoppers Drug Mart', 'healthcare': 'pharmacy'}"
1753,"{'name:en': 'Metropolis Dental Group', 'level': '1', 'healthcare': 'dentist'}"
1757,"{'brand:wikidata': 'Q5503082', 'level': '1', 'brand:wikipedia': 'en:Freshslice Pizza', 'cuisine': 'pizza', 'name:en': 'Fresh Slice Pizza', 'takeaway': 'yes', 'brand': 'Freshslice Pizza'}"
1759,"{'level': '1', 'name:en': 'Togo Sushi'}"
1760,{'name:en': 'Photos'}
1762,{'level': '1'}
1763,{'level': '1'}
1764,"{'brand:wikidata': 'Q524757', 'alt_name': 'Kentucky Fried Chicken', 'level': '1', 'brand:wikipedia': 'en:KFC', 'cuisine': 'chicken', 'takeaway': 'yes', 'brand': 'KFC'}"
1765,"{'brand:wikidata': 'Q7013558', 'level': '1', 'brand:wikipedia': 'en:New York Fries', 'cuisine': 'fries', 'takeaway': 'yes', 'brand': 'New York Fries'}"
1766,{'level': '1'}
1767,"{'brand:wikidata': 'Q2818848', 'level': '1', 'brand:wikipedia': 'en:A&W (Canada)', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'A&W'}"
1768,"{'brand:wikidata': 'Q175106', 'level': '1', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'name:en': 'Tim Hortons', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
1769,"{'level': '1', 'name:en': 'CHQ'}"
1770,"{'level': '1', 'name:en': 'The American Cheese Steak Co.'}"
1771,"{'addr:housenumber': '774', 'addr:street': 'Denman Street'}"
1772,"{'addr:housenumber': '1003', 'name:en': 'Sunshine'}"
1773,"{'addr:housenumber': '1605', 'name:en': 'Chuan Dong'}"
1774,"{'addr:housenumber': '1610', 'name:en': 'Comebuy'}"
1775,"{'addr:housenumber': '1001', 'name:en': 'Crystal Dental Center', 'healthcare': 'dentist'}"
1776,"{'addr:housenumber': '1021', 'name:en': 'Eggstatic'}"
1777,"{'addr:housenumber': '1612', 'name:en': 'Medical Clinic', 'healthcare': 'clinic'}"
1778,{'name:en': 'Neptune Chinese Kitchen'}
1779,{'name:en': 'Family Lounge'}
1780,{'name:en': 'Grainery'}
1785,{'name:en': 'CIBC'}
1787,{'name:en': 'Sashimi Sushi'}
1790,{'cuisine': 'srilankan'}
1791,"{'cuisine': 'japanese', 'level': '1', 'drive_through': 'no'}"
1792,"{'cuisine': 'indian', 'level': '1', 'drive_through': 'no'}"
1793,"{'cuisine': 'vietnamese', 'level': '1', 'drive_through': 'no'}"
1794,{'name:en': 'Find + Seek'}
1795,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1800,{'name:en': 'The Buffet'}
1802,"{'name:en': ""Made to Order Chip's""}"
1804,{'name:en': 'Triple Os'}
1805,{'name:en': 'Husky'}
1806,{'name:en': 'Char 631 Steakhouse'}
1807,"{'addr:housenumber': '405', 'drive_through': 'no', 'name:en': 'HSBC', 'addr:street': 'North Road', 'atm': 'yes', 'operator': 'HSBC', 'addr:city': 'Coquitlam'}"
1808,{'name:en': 'Jugo Juice'}
1809,"{'name:en': ""Anna's""}"
1810,{'name:en': 'Big Orange'}
1811,{'name:en': 'Wok'}
1812,{'name:en': 'Kojo of Japan'}
1813,{'name:en': 'Chop & Toss'}
1814,"{'brand:wikidata': 'Q2818848', 'brand:wikipedia': 'en:A&W (Canada)', 'cuisine': 'burger', 'name:en': 'A&W', 'takeaway': 'yes', 'brand': 'A&W'}"
1816,{'name:en': 'FU Express'}
1817,{'name:en': 'Roadies'}
1818,"{'name:en': ""Fuel Cafe'""}"
1820,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'name:en': 'Starbucks', 'takeaway': 'yes', 'brand': 'Starbucks'}"
1825,{'name:en': 'Lougheed'}
1828,"{'brand:wikidata': 'Q806693', 'official_name': 'Bank of Montreal', 'brand:wikipedia': 'en:Bank of Montreal', 'opening_hours': 'Mo-Th 09:30-17:00; Fr 09:30-18:00; Sa 09:30-16:00', 'name:en': 'BMO', 'brand': 'BMO'}"
1830,"{'opening_hours': 'Mo-Sa 06:30-21:00; Su 06:30-20:00', 'name:en': 'Ihop'}"
1838,{'name:en': 'Orange Julius'}
1840,{'name:en': 'Cinnzeo'}
1841,"{'brand:wikidata': 'Q38076', 'level': '0', 'brand:wikipedia': ""en:McDonald's"", 'cuisine': 'burger', 'takeaway': 'yes', 'addr:city': 'Vancouver', 'addr:housenumber': '88', 'drive_through': 'no', 'opening_hours': 'Su-Th 06:00-23:00; Fr-Sa 00:00-24:00', 'name:en': ""McDonald's"", 'addr:street': 'West Pender Street', 'brand': ""McDonald's""}"
1842,"{'cuisine': 'pizza', 'addr:housenumber': '508', 'website': 'http://goldiespizza.com', 'name:en': 'Goldies', 'addr:street': 'Abbott Street'}"
1843,"{'wheelchair': 'yes', 'website': 'http://www.cavemancafe.ca', 'diet:paleo': 'yes', 'diet:gluten_free': 'yes', 'level': '0', 'diet:dairy_free': 'yes', 'diet:vegan': 'yes', 'takeaway': 'yes', 'addr:unit': '1005', 'addr:city': 'Vancouver', 'diet:vegetarian': 'yes', 'addr:housenumber': '88', 'diet:halal': 'only', 'phone': '+1-604-331-0668', 'opening_hours': 'Mo-Fr 11:00-22:00; Sa 12:00-22:00; Su 12:00-18:00', 'outdoor_seating': 'no', 'addr:street': 'Pender Street', 'payment:debit_cards': 'yes', 'email': 'info@cavemancafe.ca'}"
1846,{'name:en': 'Mtt Centre'}
1857,"{'addr:housenumber': '88', 'name:en': 'Shiny Tea', 'addr:street': 'West Pender Street', 'addr:city': 'Vancouver'}"
1858,"{'brand:wikidata': 'Q7673969', 'level': '1', 'brand:wikipedia': 'en:Taco Time', 'cuisine': 'mexican', 'takeaway': 'yes', 'brand': 'Taco Time'}"
1859,"{'note': 'Found disused on a survey on 2018-Dec-10.', 'addr:housenumber': '88', 'unit': '2009', 'disused:amenity': 'fast_food', 'level': '1', 'addr:street': 'West Pender Street', 'addr:city': 'Vancouver'}"
1862,{'level': '1'}
1863,"{'cuisine': 'vietnamese', 'level': '1', 'drive_through': 'no'}"
1864,"{'cuisine': 'thai', 'level': '1', 'drive_through': 'no'}"
1865,"{'cuisine': 'thai', 'addr:housenumber': '88', 'addr:street': 'West Pender Street', 'level': '1', 'addr:city': 'Vancouver'}"
1866,"{'addr:housenumber': '88', 'level': '1', 'drive_through': 'no', 'cuisine': 'indonesian', 'addr:street': 'West Pender Street', 'addr:city': 'Vancouver'}"
1867,"{'addr:housenumber': '88', 'level': '1', 'drive_through': 'no', 'cuisine': 'szechuan;chinese', 'addr:street': 'West Pender Street', 'addr:city': 'Vancouver'}"
1868,{'name:en': 'Piranha'}
1869,{'name:en': 'Game Center'}
1874,{}
1875,{}
1876,"{'addr:housenumber': '2270', 'website': 'http://deepcovecraft.com/index_wp.php/lounge/', 'shop': 'alcohol', 'phone': '+1-604-770-1136', 'opening_hours': 'Mo-Th 12:00-23:00; Fr-Sa 12:00-00:00; Su 12:00-22:00', 'outdoor_seating': 'yes', 'addr:street': 'Dollarton Highway', 'addr:postcode': 'V7H 1A8', 'addr:unit': '170', 'email': 'info@deepcovecraft.com', 'addr:city': 'North Vancouver'}"
1877,"{'addr:housenumber': '5822', 'addr:street': 'Victoria Drive', 'addr:postcode': 'V5P 3W5', 'addr:city': 'Vancouver'}"
1878,"{'opening_hours': 'Mo-Fr 06:00-16:30; Sa 07:00-15:00; Su 07:00-12:00', 'addr:housenumber': '5786', 'addr:street': 'Victoria Drive', 'addr:postcode': 'V5P 3W7', 'addr:city': 'Vancouver'}"
1886,"{'addr:housenumber': '1631', 'internet_access': 'no', 'smoking': 'no', 'opening_hours': '07:00-14:30', 'cuisine': 'mixed', 'addr:street': 'Yew St', 'addr:postcode': 'V6K 3E6', 'addr:city': 'Vancouver'}"
1887,"{'brand:wikidata': 'Q867662', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}"
1890,"{'addr:housenumber': '1728', 'phone': '+1-604-251-3473', 'cuisine': 'italian', 'addr:street': 'Commercial Drive', 'addr:postcode': 'V5N 4A3', 'addr:city': 'Vancouver'}"
1891,"{'website': 'http://offtherailbrewing.com/', 'shop': 'alcohol', 'phone': '+1-604-563-5767', 'opening_hours': 'Su-Th 12:00-20:00; Fr-Sa 12:00-22:00', 'brewery': 'yes', 'email': 'trigger@offtherailbrewing.com'}"
1892,"{'opening_hours': 'Mo-Su 12:00-23:00', 'website': 'http://bomberbrewing.com', 'shop': 'alcohol', 'phone': '+1-604-428-7457'}"
1908,"{'addr:housenumber': '11220', 'website': 'http://fuggleswarlock.com', 'shop': 'alcohol', 'phone': '+1-604-285-7745', 'wlan': 'free', 'opening_hours': 'Su-We 12:00-19:00; Th-Sa 11:00-00:00', 'addr:street': 'Horseshoe Way', 'addr:postcode': 'V7A 4V5', 'addr:unit': '103', 'email': 'beer@fuggleswarlock.com', 'addr:city': 'Richmond'}"
1909,"{'ref': '0137', 'capacity': '18', 'network': 'Mobi'}"
1910,"{'addr:housenumber': '3811', 'dispensing': 'yes', 'addr:street': 'Chatham Street', 'addr:unit': '101', 'healthcare': 'pharmacy', 'addr:city': 'Richmond'}"
1911,"{'ref': '0093', 'capacity': '22', 'network': 'Mobi'}"
1912,"{'brand:wikidata': 'Q1069924', 'brand': 'Zipcar', 'brand:wikipedia': 'en:Zipcar', 'capacity': '2'}"
1913,"{'ref': '0052', 'capacity': '32', 'network': 'Mobi'}"
1914,"{'ref': '0092', 'capacity': '18', 'network': 'Mobi'}"
1923,{}
1924,{}
1928,"{'brand:wikidata': 'Q550258', 'addr:housenumber': '3880', 'brand:wikipedia': ""en:Wendy's"", 'cuisine': 'burger', 'addr:street': 'Grant McConachie Way', 'takeaway': 'yes', 'brand': ""Wendy's""}"
1929,{}
1939,"{'opening_hours': 'Su 06:00-16:00', 'website': 'http://www.abbotsfordfleamarket.com', 'phone': '+1-604-859-7540'}"
1940,"{'ref': '0114', 'capacity': '20', 'network': 'Mobi'}"
1941,"{'ref': '0113', 'capacity': '40', 'network': 'Mobi'}"
1947,"{'ref': '0107', 'capacity': '14', 'network': 'Mobi'}"
1952,"{'addr:housenumber': '511', 'addr:street': 'East Broadway', 'phone': '+1-604-687-2172', 'addr:postcode': 'V5T 1X4', 'addr:city': 'Vancouver'}"
1958,"{'brand:wikidata': 'Q2759586', 'addr:housenumber': '1868', 'website': 'https://www.papajohns.ca', 'ref': '11713', 'phone': '+1-604-746-3100', 'brand:wikipedia': ""en:Papa John's Pizza"", 'cuisine': 'pizza', 'addr:street': 'McCallum Road', 'takeaway': 'yes', 'brand': ""Papa John's"", 'addr:unit': '120'}"
1964,"{'addr:housenumber': '1167', 'name:en': 'The Wine Bar', 'addr:street': 'Marinaside Crescent', 'addr:city': 'Vancouver'}"
1967,"{'brand:wikidata': 'Q1820137', 'name:en': 'Shoppers Drug Mart', 'brand': 'Shoppers Drug Mart', 'brand:wikipedia': 'en:Shoppers Drug Mart', 'healthcare': 'pharmacy'}"
1973,"{'addr:housenumber': '1326', 'website': 'http://kinaraindiancuisine.com', 'phone': '+1-604-633-8313', 'opening_hours': 'Mo-Fr 11:00-22:00; Sa, Su 12:00-22:00', 'cuisine': 'indian', 'addr:street': 'Davie Street', 'addr:postcode': 'V6E 1N5', 'addr:city': 'Vancouver'}"
1976,{'name:en': 'The Park at English Bay'}
1977,"{'cuisine': 'japanese', 'addr:housenumber': '1711', 'name:en': 'Yummy to Go', 'addr:street': 'Davie Street'}"
1978,{'name:en': 'Grotto'}
1981,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1752', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': 'Mo-Su 05:00-23:00', 'cuisine': 'coffee_shop', 'addr:street': 'Davie Street', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
1988,"{'cuisine': 'pizza', 'name:en': 'Pizza Factory'}"
1996,"{'ref': '0004', 'fee': 'no', 'capacity': '16', 'network': 'Mobi'}"
1997,"{'addr:housenumber': '639', 'website': 'http://yorktheatre.ca/', 'addr:street': 'Commercial Drive', 'addr:postcode': 'V5L 2W2', 'wikidata': 'Q38378460'}"
1998,"{'addr:housenumber': '162', 'alt_name': 'Goldcorp Stage at the BMO Theatre Centre', 'website': 'https://artsclub.com/', 'addr:street': 'West 1st Avenue'}"
1999,"{'addr:housenumber': '100', 'website': 'https://langara.ca/studio-58/', 'phone': '+1-604-323-5227', 'name:en': 'Studio 58', 'addr:street': 'West 49th Avenue', 'operator': 'Studio 58'}"
2000,"{'addr:housenumber': '1370', 'website': 'https://metrotheatre.com/', 'phone': '+1-604-266-7191', 'addr:street': 'Southwest Marine Drive', 'addr:postcode': 'V6P 5Z9', 'wikidata': 'Q38378154', 'addr:city': 'Vancouver'}"
2001,"{'addr:province': 'BC', 'addr:housenumber': '1532', 'alt_name': ""White Rock Players' Club"", 'website': 'https://www.whiterockplayers.ca/', 'phone': '+1-604-536-7535', 'addr:street': 'Johnston Road', 'addr:city': 'White Rock'}"
2002,"{'wheelchair': 'yes', 'addr:housenumber': '1700', 'website': 'http://kaymeekcentre.com/', 'addr:street': 'Mathers Avenue', 'phone': '+1-604-981-6335'}"
2003,"{'addr:housenumber': '581', 'alt_name': 'Performing Art Lodges Vancouver, Performing Art Lodges Theatre', 'website': 'http://www.palstudiotheatre.com/', 'addr:street': 'Cardero Street', 'phone': '+1-604-255-4313'}"
2006,{}
2007,"{'opening_hours': 'Mo-Fr 08:00-16:00 open ""Open to Patients/Public""; Sa-Su off', 'addr:unit': 'D2.015'}"
2008,"{'ref': '0055', 'capacity': '14', 'network': 'Mobi'}"
2009,"{'brand:wikidata': 'Q1032001', 'addr:housenumber': '944', 'brand:wikipedia': 'en:Canada Post', 'opening_hours': 'Mo-Fr 08:30-17:00 Sat 9:30-12:30', 'addr:street': 'Dorman Road', 'addr:postcode': 'V0N 1G0', 'brand': 'Canada Post', 'addr:unit': '209', 'operator': 'Canada Post'}"
2010,{'healthcare': 'pharmacy'}
2011,{'recycling_type': 'centre'}
2012,"{'brand:wikidata': 'Q1032001', 'brand': 'Canada Post', 'brand:wikipedia': 'en:Canada Post', 'operator': 'Canada Post'}"
2013,"{'ref': '0070', 'capacity': '24', 'network': 'Mobi'}"
2014,"{'ref': '0172', 'capacity': '14', 'network': 'Mobi'}"
2021,"{'indoor': 'yes', 'addr:unit': '113'}"
2022,"{'cuisine': 'pizza', 'indoor': 'yes', 'phone': '+1-604-689-9002'}"
2030,"{'level': '-1', 'healthcare': 'dentist'}"
2032,"{'level': '-1', 'cuisine': 'pretzel'}"
2033,"{'opening_hours': 'Mo-Th,Su 11:00-00:00; Fr,Sa 11:00-01:00', 'addr:housenumber': '120-1901', 'website': 'http://www.princetonpub.com', 'addr:street': 'Dundas Street', 'phone': '+1-604-253-6645'}"
2034,"{'brand:wikidata': 'Q702049', 'brand': 'Husky', 'brand:wikipedia': 'en:Husky Energy'}"
2036,"{'addr:housenumber': '22630', 'description': 'Traditional Roman Catholic Latin Mass', 'addr:street': '48 Avenue', 'addr:postcode': 'V2Z 2T6', 'denomination': 'catholic', 'addr:city': 'Langley', 'religion': 'christian'}"
2042,{'name:en': 'Lockers'}
2043,{'name:en': 'Wu Han Spicy Duck'}
2045,"{'addr:housenumber': '1812', 'name:en': 'S&W Pepper House'}"
2049,"{'brand:wikidata': 'Q1089932', 'addr:housenumber': '103-6591', 'brand:wikipedia': ""en:Church's Chicken"", 'drive_through': 'no', 'cuisine': 'chicken', 'addr:street': 'Kingsway', 'takeaway': 'yes', 'brand': ""Church's Chicken"", 'addr:city': 'Burnaby'}"
2050,"{'brand:wikidata': 'Q791136', 'name:en': 'Avis', 'brand': 'Avis', 'brand:wikipedia': 'en:Avis Car Rental'}"
2051,{'name:en': 'Cora'}
2052,{'name:en': 'The Stanjean Center'}
2053,"{'brand:wikidata': 'Q666694', 'brand': 'CIBC', 'brand:wikipedia': 'en:Canadian Imperial Bank of Commerce'}"
2054,"{'addr:housenumber': '4879', 'addr:street': 'Kingsway', 'healthcare': 'clinic', 'addr:city': 'Burnaby'}"
2055,"{'brand:wikidata': 'Q244457', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'name:en': 'Subway', 'takeaway': 'yes', 'brand': 'Subway'}"
2064,"{'addr:street': '88 Avenue', 'addr:city': 'Township of Langley'}"
2065,"{'addr:street': 'Glover Road', 'addr:city': 'Township of Langley'}"
2069,"{'opening_hours': 'Mo-Su 10:00-19:30', 'addr:housenumber': '678', 'addr:street': 'Seymour Street'}"
2070,"{'addr:housenumber': '682', 'addr:street': 'Seymour Street'}"
2071,"{'addr:housenumber': '578', 'addr:street': 'Dunsmuir Street', 'addr:city': 'Vancouver'}"
2072,"{'cuisine': 'poke', 'addr:housenumber': '558', 'addr:street': 'Dunsmuir Street', 'addr:postcode': 'V6B 1Y1', 'addr:city': 'Vancouver'}"
2073,"{'opening_hours': 'Mo-Fr 11:00-21:00; Sa 12:00-21:00', 'addr:housenumber': '519', 'addr:street': 'Dunsmuir Street', 'addr:city': 'Vancouver'}"
2074,"{'cuisine': 'sushi', 'addr:housenumber': '509', 'addr:street': 'Dunsmuir Street', 'addr:city': 'Vancouver'}"
2075,"{'addr:housenumber': '505', 'addr:street': 'Dunsmuir Street', 'addr:city': 'Vancouver'}"
2078,"{'diet:vegetarian': 'yes', 'addr:housenumber': '162', 'website': 'http://www.pourhousevancouver.com', 'internet_access': 'wlan', 'phone': '+1-604-568-7022', 'opening_hours': 'Mo-Th,Su 17:00-00:00; Fr,Sa 17:00-01:00', 'addr:street': 'Water Street', 'addr:postcode': 'V6B 1B2'}"
2082,"{'ref': '0017', 'capacity': '22', 'network': 'Mobi'}"
2085,"{'ref': '0060', 'capacity': '26', 'network': 'Mobi'}"
2086,"{'website': 'http://fortlangleyvetclinic.vetsuite.com', 'addr:street': 'Glover Road', 'phone': '+1-604-888-4142', 'addr:city': 'Township of Langley'}"
2087,"{'ref': '0065', 'capacity': '22', 'network': 'Mobi'}"
2089,"{'ref': '0071', 'capacity': '14', 'network': 'Mobi'}"
2091,"{'ref': '0171', 'capacity': '14', 'network': 'Mobi'}"
2092,"{'ref': '0138', 'capacity': '18', 'network': 'Mobi'}"
2093,{'name:en': 'Judge Begbies'}
2094,"{'brand:wikidata': 'Q38076', 'addr:housenumber': '19955', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'cuisine': 'burger', 'name:en': ""McDonald's"", 'addr:street': '96 Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}"
2095,{'name:en': 'Driving Force (Truck Rental)'}
2096,"{'addr:housenumber': '48', 'name:en': 'Hops', 'addr:street': 'Eighth Street'}"
2097,{'name:en': 'Fresh Slice Pizza'}
2098,"{'brand:wikidata': 'Q17111672', 'brand:wikipedia': 'en:Panago', 'cuisine': 'pizza', 'name:en': 'Panago', 'takeaway': 'yes', 'brand': 'Panago'}"
2099,"{'addr:housenumber': '20204', 'website': 'https://nyindiangrill.com', 'level': '0', 'name:en': ""NY's Indian Grill & Bar"", 'addr:street': 'Fraser Highway', 'addr:postcode': 'V3A 4E6'}"
2100,"{'name:en': 'Aspirations Dental', 'healthcare': 'dentist'}"
2101,{'name:en': 'S&L'}
2102,"{'name:en': ""Gabby's Country Cabaret""}"
2103,"{'brand:wikidata': 'Q867662', 'addr:housenumber': '20250', 'brand:wikipedia': 'en:Esso', 'name:en': 'Esso', 'addr:street': '88 Avenue', 'brand': 'Esso'}"
2104,"{'brand:wikidata': 'Q666694', 'addr:housenumber': '20191', 'brand:wikipedia': 'en:Canadian Imperial Bank of Commerce', 'name:en': 'CIBC', 'addr:street': '88 Avenue', 'brand': 'CIBC'}"
2105,"{'brand:wikidata': 'Q7995414', 'addr:housenumber': '20077', 'brand:wikipedia': 'en:White Spot', 'cuisine': 'burger', 'name:en': 'White Spot', 'addr:street': '91A Avenue', 'brand': 'White Spot'}"
2106,"{'addr:housenumber': '20077', 'addr:street': '91A Avenue', 'addr:city': 'Langley'}"
2107,{'name:en': 'Zythos Greek Restaurant'}
2108,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'website': 'https://www.starbucks.ca/', 'internet_access': 'wlan', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'addr:housenumber': '19898', 'phone': '+1-604-217-7393', 'opening_hours': 'Mo-Fr 05:00-21:00; Su 06:30-21:00; Sa 06:00-21:00', 'name:en': 'Starbucks', 'addr:street': 'Langley Bypass', 'brand': 'Starbucks'}"
2109,"{'brand:wikidata': 'Q465751', 'official_name': 'Chipotle Mexican Grill', 'addr:housenumber': '19898', 'brand:wikipedia': 'en:Chipotle Mexican Grill', 'cuisine': 'mexican', 'addr:street': 'Langley Bypass', 'takeaway': 'yes', 'brand': 'Chipotle', 'addr:unit': '110', 'addr:city': 'Langley'}"
2111,"{'addr:housenumber': '6250', 'website': 'http://www.bellperformingartscentre.com/', 'addr:street': '144 Street', 'phone': '+1-604-507-6355', 'addr:city': 'Surrey'}"
2121,{'name:en': 'Maple Ridge Alliance Church'}
2122,{'name:en': 'Vancouver Career College-Coquitlam'}
2123,"{'name:en': 'Dr Ali Amiri-Chiropractor', 'healthcare': 'doctor'}"
2124,"{'addr:housenumber': '1336', 'name:en': 'Cecil Bar', 'addr:street': 'Granville Street', 'addr:city': 'Vancouver'}"
2125,"{'addr:housenumber': '1583', 'name:en': ""Cardero's"", 'addr:street': 'Coal Harbour Quay', 'addr:city': 'Vancouver'}"
2126,{'name:en': 'Shabusen'}
2127,{}
2128,"{'addr:housenumber': '1269', 'addr:street': 'Hamilton Street', 'addr:city': 'Vancouver'}"
2130,"{'addr:housenumber': '350', 'addr:street': 'Davie Street', 'addr:city': 'Vancouver'}"
2131,"{'addr:housenumber': '1233', 'addr:street': 'Hamilton Street'}"
2132,"{'addr:housenumber': '1257', 'addr:street': 'Hamilton Street', 'addr:city': 'Vancouver'}"
2133,"{'addr:province': 'BC', 'addr:housenumber': '1261', 'addr:street': 'Hamilton Street', 'addr:city': 'Vancouver'}"
2134,"{'addr:housenumber': '1283', 'addr:street': 'Hamilton Street'}"
2135,{}
2139,"{'level': '0', 'addr:unit': '115'}"
2142,"{'opening_hours': 'Tu-Th 12:00-17:00; Fr-Sa 12:30-20:00', 'addr:housenumber': '1128', 'name:en': 'Yaletown Distilling Company', 'addr:street': 'Hamilton Street', 'addr:city': 'Vancouver'}"
